,Latitude,Longitude,Cumulative Distance
108,-12.797961235046388,131.12283325195312,61.75309683152196
109,-12.799797058105469,131.12271118164062,61.95662368946522
110,-12.801507949829102,131.12261962890625,62.14615841765117
111,-12.80343246459961,131.12249755859375,62.359477309947195
112,-12.804991722106934,131.12240600585938,62.5322622890787
113,-12.80663776397705,131.1223602294922,62.714429808858135
114,-12.808191299438477,131.12265014648438,62.88915413251585
115,-12.809527397155762,131.12265014648438,63.036965115976116
116,-12.809527397155762,131.1232452392578,63.10157248846766
117,-12.811076164245604,131.1242218017578,63.30306072591858
118,-12.812495231628418,131.12509155273438,63.48625995248276
119,-12.81406021118164,131.12603759765625,63.68756455133029
120,-12.815564155578612,131.12696838378906,63.88222685880302
121,-12.817031860351562,131.12786865234375,64.07174384655806
